,User,Date Created,Number of Likes,Source of Tweet,Tweet,Polarity,Emotion
54,GeopoliticalJD,2019-12-31 17:09:07+00:00,1,Twitter for iPhone,This is occurring in West Darfur. Healthcare and healthcare workers are NotATarget,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
55,HollieHawk72,2019-12-31 17:08:54+00:00,5,Twitter Web App,Would also like to add if the PSW (PERSONAL SUPPOWORKER) shortage/crisis is going to continue to be ignored the healthcare system will continue to crumble &amp; collapse! PSW are FRONT LINE WORKERS!,"{'neg': 0.131, 'neu': 0.714, 'pos': 0.155, 'compound': 0.254}",Positive
56,BMJ_Open,2019-12-31 17:01:32+00:00,0,Hootsuite Inc.,Sleep problems of healthcare workers in tertiary hospital and influencing factors identified through a multilevel analysis a cross-sectional study in China -,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.4019}",Negative
57,svmservices1,2019-12-31 17:00:28+00:00,1,Rallio,"Nurses, first responders, healthcare workers &amp; hospital environmental services staff can all be at risk of being exposed to bloodborne pathogens. Learn the top things you need to know about bloodborne pathogens safety from the experts at SVM Clean","{'neg': 0.073, 'neu': 0.771, 'pos': 0.156, 'compound': 0.5994}",Positive
58,MeanPeopleSuck8,2019-12-31 16:56:51+00:00,0,Twitter for Android,"Social/economic equality Assistance for those in need Environmental protections Equal pay for women Workers rights Healthcare as a fundamental right LGBTQ rights Police reform Immigration reform You know, just your garden variety human decency issues. Nothing to see here.","{'neg': 0.036, 'neu': 0.964, 'pos': 0.0, 'compound': -0.1027}",Negative
59,tmsnbb,2019-12-31 16:55:01+00:00,0,Twitter Web App,"healthcare Workers in Missouri for Nicole Galloway, CPA Governor 2020","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
60,jimmbojammbo,2019-12-31 16:47:22+00:00,0,Twitter for Android,Yo-Bernie...the US government in control of our healthcare is WORSE than a corporation. We'll be arguing with mostly unmotivated government workers with no incentive to do anything except put in their 8 hours and go home. The government mismanages almost everything they do.,"{'neg': 0.224, 'neu': 0.726, 'pos': 0.049, 'compound': -0.8374}",Negative
61,CNSICorp,2019-12-31 16:43:10+00:00,0,Hootsuite Inc.,"challenges the healthcare industry to think outside the walls of a clinic. The food pantry, public transportation, housing, social workerstheyre all part of the continuum of care EHR integratedcare socialdeterminents","{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.5423}",Positive
62,NebraskaBobert,2019-12-31 16:37:33+00:00,1,Twitter for iPhone,"Not a dumb question. Business need customers. Fewer ppl means fewer customers means business dries up. As young ppl move away, the remaining population is left without healthcare workers. Culturally, small towns disappear &amp; small schools consolidate.","{'neg': 0.047, 'neu': 0.887, 'pos': 0.067, 'compound': 0.2028}",Positive
63,FischerPhoto,2019-12-31 16:01:29+00:00,1,Twitter for iPhone,Staff get healthcare after 20 years... Pension after 5 years is common... 2% x avg of best 3 years pay. Its not much for most fed workers though its something,"{'neg': 0.042, 'neu': 0.833, 'pos': 0.125, 'compound': 0.5859}",Positive
64,smelitecleaning,2019-12-31 16:00:43+00:00,0,Rallio,"Nurses, first responders, healthcare workers &amp; hospital environmental services staff can all be at risk of being exposed to bloodborne pathogens. Learn the top things you need to know about bloodborne pathogens safety from the experts at SVM Clean","{'neg': 0.073, 'neu': 0.771, 'pos': 0.156, 'compound': 0.5994}",Positive
65,AkashicTBby,2019-12-31 15:59:46+00:00,0,Twitter for iPhone,No one likes healthcare workers until theyre in immediate danger. Meanwhile they drag us the entire build up with our annoying warnings and nagging over medication/nutrition... then get mad at us if its too late to correct their damage or offer life style modifications,"{'neg': 0.294, 'neu': 0.656, 'pos': 0.05, 'compound': -0.9153}",Negative
66,kimlovesdisney1,2019-12-31 15:56:35+00:00,1,Twitter for iPhone,Whats next ? When he pushes the Medicare for all ... all you healthcare workers can find another job.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
67,kristiesbrown,2019-12-31 15:47:03+00:00,0,Dynamic Signal,Amazon has announced the start of a virtual healthcare service for its workers. This service will include an online pharmacy care clinic as well as in-home nurse visits and prescription delivery. Learn more about Amazon's latest ambition in healthcare...,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.7184}",Positive
68,PerditionReigns,2019-12-31 15:44:09+00:00,1,Twitter Web App,For full time workers. The part time employees in the warehouses don't get health insurance and Amazon just moved to take healthcare away from more Whole Foods employees.,"{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.1779}",Positive
69,drmkmittal,2019-12-31 15:43:02+00:00,0,Twitter for iPhone,"Corporate not for profit mentality is unsustainable for medical profession! Hospitals are not a bank or hotel, and cant be run as such, hospitals across USA are surviving on healthcare workers goodwill and they should be taken care off!","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.717}",Positive
70,JonMars3,2019-12-31 15:28:15+00:00,0,Twitter for Android,"Novels They are more nurturing by nature but we're all (healthcare workers) taught to speak to patients in an adult manner. Although, I've definitely used a calm and reassuring tone of voice when speaking to certain patients so what do I know lol","{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.9555}",Positive
71,Tufftruth,2019-12-31 15:20:45+00:00,0,Twitter Web App,"And why tell lies? There weren't 2.9 million new jobs says In 2018, nearly 2.9 million workers in healthcare and social assistance were Hispanic or Latino, or about 1 in 10 Hispanic or Latino workers. Not new jobs, just jobs","{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.4215}",Negative
72,paulaptlb,2019-12-31 15:17:12+00:00,0,Twitter Web App,"Does anybody read the articles they comment on? This is about a few more pennies for low wage workers. Not middle class salaries. How's your big boost at McDonald's working out for you, as prices increase, most especially healthcare.","{'neg': 0.053, 'neu': 0.834, 'pos': 0.113, 'compound': 0.3892}",Positive
73,_anyder,2019-12-31 15:05:02+00:00,0,Twitter Web App,"Mojarad unconscionable. for years i would leave medical appointments in tears because i felt so humiliated by the disregard i'd get from healthcare workers. i have thought many times that i ought to just give up on trying to get help, and live with my chronic pain and other symptoms.","{'neg': 0.214, 'neu': 0.736, 'pos': 0.05, 'compound': -0.7855}",Negative
74,Apologetica5,2019-12-31 15:04:15+00:00,1,Twitter for iPhone,BreakfastAt Regardless Id consider deleting your post doxing the doc with whom you had a bad experience. The person obviously cant defend or explain their actions without violating patient confidentiality. There are lots of cases of violence against healthcare workers that start this way.,"{'neg': 0.142, 'neu': 0.804, 'pos': 0.053, 'compound': -0.6956}",Negative
75,WCRI,2019-12-31 15:01:06+00:00,0,Buffer,"PRO Older workers generate higher-cost workers' comp medical and indemnity payments, finds new study. Learn more at workerscomp healthcare","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
76,AZ_Pauley,2019-12-31 14:46:56+00:00,1,Twitter for Android,"Thanks. I'll look this up. I'm certainly not begrudging govt workers benefits. Lifelong healthcare for Congress after serving 5-6 yrs seems excessive, even if they pay something toward it.","{'neg': 0.038, 'neu': 0.751, 'pos': 0.212, 'compound': 0.7579}",Positive
77,TinasWish,2019-12-31 14:45:16+00:00,6,Hootsuite Inc.,"As 2019 comes to a close, we want to take this opportunity to thank our donors, volunteers, researchers, healthcare workers, survivors, caregivers and everyone affected by ovariancancer. We pledge to continue working hard to develop an early detection test for this disease.","{'neg': 0.064, 'neu': 0.786, 'pos': 0.15, 'compound': 0.6187}",Positive
78,NurseLedCare,2019-12-31 14:44:00+00:00,5,Sprout Social,"In addition to focusing on consumer technology, the time is now for leaders to focus on the healthcare workers that drive compassionate care, improving outcomes for communities across America.","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.8481}",Positive
79,TimSchneiderFM,2019-12-31 14:39:43+00:00,0,Twitter for iPhone,17.5 per cent of workers are at high risk of being affected by automation Sectors like healthcare and public sector are low risk. Cities built around a single sector such as natural resources are high risk. We need to diversify our economy and innovate,"{'neg': 0.185, 'neu': 0.664, 'pos': 0.151, 'compound': 0.0516}",Positive
80,WorkYonkersNY,2019-12-31 14:39:41+00:00,0,SocialOomph,JOB Bronx NY USA - LPN Rehab Healthcare Center - Paid Training - As the largest recruiter of nursing pro As the largest recruiter of nursing professionals and health care workers in New York we are committed to placing the ri JOBS YONKERS NY,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.6486}",Positive
81,VibrantCalgary,2019-12-31 14:28:21+00:00,1,Twitter for iPhone,Unions raise safety concerns after AHS memo imposes new limits on overtime. Union leaders who represent healthcare workers are troubled by notices telling employees theyll need managers to preapprove any overtime work unless its an emergency.,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.7184}",Negative
82,Melllllx3,2019-12-31 14:16:52+00:00,1,Twitter for iPhone,This is the shit that pisses me off about some peoples intentions for becoming nurses. You think youre being cute ignoring someones symptoms until it happens to someone you care for. Cut this shit out &amp; stop becoming healthcare workers if you dont actually CARE,"{'neg': 0.106, 'neu': 0.559, 'pos': 0.335, 'compound': 0.9526}",Positive
83,Mike281mike,2019-12-31 14:11:36+00:00,2,Twitter for iPhone,"No healthcare,cut social security and Medicare. Give corporate a tax cut on the workers bump. The GOP answer towards prosperity","{'neg': 0.181, 'neu': 0.717, 'pos': 0.101, 'compound': -0.2263}",Negative
84,rafiuajakaye,2019-12-31 14:02:48+00:00,6,Twitter for iPad,"We spent substantial part of the outgoing year trying to stabilise a state that was left in ruins because of years of neglect  whether in the area of water supply, basic healthcare, primary education, workers welfare, and other basic amenities, Rafiu Ajakaye,","{'neg': 0.126, 'neu': 0.789, 'pos': 0.085, 'compound': -0.4404}",Negative
85,SMClean518,2019-12-31 14:00:41+00:00,0,Rallio,"Nurses, first responders, healthcare workers &amp; hospital environmental services staff can all be at risk of being exposed to bloodborne pathogens. Learn the top things you need to know about bloodborne pathogens safety from the experts at SVM Clean","{'neg': 0.073, 'neu': 0.771, 'pos': 0.156, 'compound': 0.5994}",Positive
86,ThipenThwa,2019-12-31 13:48:29+00:00,19,Twitter for iPad,"To all Paramedics, Doctors, Nurses, Healthcare workers &amp; Police that will be on duty on NewYearsEve THANK YOU for your service. We appreciate you Happy2020 HappyNewYear EndOfTheDecade","{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.7125}",Positive
87,ShareScoops,2019-12-31 13:38:20+00:00,1,Twitter for Android,"Fighting to be free(lance) Uber &amp; Postmates are battling California in court over the recent law reclassifying contract workers as employees, requiring things like healthcare &amp; wage protection, making freelancers more expensive as writers, deliverers, etc","{'neg': 0.111, 'neu': 0.795, 'pos': 0.094, 'compound': -0.1779}",Negative
88,me32456,2019-12-31 13:37:45+00:00,1,Twitter for iPhone,baker18 not really. healthcare workers do not have a monday to friday job,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
89,TransFormSSO,2019-12-31 13:30:15+00:00,2,Hootsuite Inc.,ClinicalConnect is making a positive impact on healthcare by speeding up processes and allowing healthcare workers to provide a higher quality of care. Click this link to learn more about it Onhealth,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.7783}",Positive
90,lars10_lc,2019-12-31 13:16:13+00:00,2,Twitter for iPhone,"education becomes more &amp; more critical as t/working class disappears faster &amp; faster; either bc of wage exploitation, lack of Unions, automation, outrageous rents, high childcare &amp; healthcare costs, automation replacing blue-collar workers which forces t/need for higher edu debt","{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.9013}",Negative
91,SimonStockton3,2019-12-31 13:11:27+00:00,13,Twitter for iPhone,"Finland spent 250m creating new homes and hiring 300 extra support workers. But a recent study showed the savings in emergency healthcare, social services and the justice system totalled as much as 15,000 a year for every homeless person","{'neg': 0.075, 'neu': 0.748, 'pos': 0.177, 'compound': 0.5647}",Positive
